codigo_emenda,nome_autor,tipo_autor,partido_autor,codigo_funcao,descricao_funcao,codigo_subfuncao,descricao_subfuncao,codigo_programa,descricao_programa,codigo_acao,descricao_acao,codigo_natureza_despesa,descricao_natureza_despesa,codigo_modalidade,descricao_modalidade,valor_empenhado
43430002-2024,delegada ione,deputado federal,avante,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,2239250.0
43430005-2024,delegada ione,deputado federal,avante,10,saude,301,atencao basica,5119,atencao primaria a saude,8581,estruturacao da rede de servicos de atencao primaria a saude,4,investimentos,41,transferencias a municipios - fundo a fundo,499986.0
43430003-2024,delegada ione,deputado federal,avante,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,400000.0
43430001-2024,delegada ione,deputado federal,avante,12,educacao,364,ensino superior,5113,"educacao superior: qualidade, democracia, equidade e sustentabilidade",20gk,"fomento as acoes de graduacao, pos-graduacao, ensino, pesquisa e extensao",3,outras despesas correntes,90,aplicacoes diretas,0.0
43430006-2024,delegada ione,deputado federal,avante,12,educacao,363,ensino profissional,5112,educacao profissional e tecnologica que transforma,20rg,"reestruturacao e modernizacao das instituicoes da rede federal de educacao profissional, cientifica e tecnologica",4,investimentos,90,aplicacoes diretas,0.0
43430007-2024,delegada ione,deputado federal,avante,08,assistencia social,244,assistencia comunitaria,5134,cuidado e acolhimento de usuarios e dependentes de alcool e outras drogas,21fr,apoio e acolhimento objetivando a reinsercao de usuarios e dependentes de alcool e drogas,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,250000.0
43440004-2024,delegada katarina,deputado federal,psd,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,14205793.0
43440006-2024,delegada katarina,deputado federal,psd,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,9925000.0
43440006-2024,delegada katarina,deputado federal,psd,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,4460792.0
43440001-2024,delegada katarina,deputado federal,psd,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,2750000.0
43440003-2024,delegada katarina,deputado federal,psd,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,1628196.56
43440001-2024,delegada katarina,deputado federal,psd,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,1350000.0
43440006-2024,delegada katarina,deputado federal,psd,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,1300000.0
43440005-2024,delegada katarina,deputado federal,psd,05,defesa nacional,122,administracao geral,0032,programa de gestao e manutencao do poder executivo,2000,administracao da unidade,3,outras despesas correntes,90,aplicacoes diretas,149969.15
43440002-2024,delegada katarina,deputado federal,psd,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5663,autonomia economica das mulheres,21gg,igualdade de direitos e autonomia economica das mulheres,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,100000.0
43450001-2024,delegado caveira,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,17935793.0
43450006-2024,delegado caveira,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,5685792.0
43450004-2024,delegado caveira,deputado federal,pl,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,13500.0
43450005-2024,delegado caveira,deputado federal,pl,15,urbanismo,451,estrutura urbana,2317,desenvolvimento regional e ordenamento territorial,00vh,apoio a projetos para desenvolvimento regional-infra,4,investimentos,90,aplicacoes diretas,11391.28
43450007-2024,delegado caveira,deputado federal,pl,05,defesa nacional,368,educacao basica,6112,defesa nacional,21gp,funcionamento dos estabelecimentos de educacao basica militares do ministerio da defesa,4,investimentos,90,aplicacoes diretas,0.0
43450002-2024,delegado caveira,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,0.0
43450010-2024,delegado caveira,deputado federal,pl,12,educacao,364,ensino superior,5113,"educacao superior: qualidade, democracia, equidade e sustentabilidade",20rk,funcionamento de instituicoes federais de ensino superior,4,investimentos,90,aplicacoes diretas,0.0
43450011-2024,delegado caveira,deputado federal,pl,05,defesa nacional,152,defesa naval,6112,defesa nacional,21a0,aprestamento das forcas - manutencao da prontidao e da capacidade operativa,3,outras despesas correntes,90,aplicacoes diretas,400000.0
43450012-2024,delegado caveira,deputado federal,pl,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,2723,"policiamento, fiscalizacao, enfrentamento a criminalidade e corrupcao",4,investimentos,90,aplicacoes diretas,348600.0
43450003-2024,delegado caveira,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,200000.0
43450008-2024,delegado caveira,deputado federal,pl,14,direitos da cidadania,423,assistencia aos povos indigenas,5838,direitos plurietnicos culturais e sociais para o pleno exercicio da cidadania e o bem viver dos povos indigenas,21bo,direitos plurietnico-culturais e sociais dos povos indigenas,4,investimentos,90,aplicacoes diretas,0.0
43450009-2024,delegado caveira,deputado federal,pl,21,organizacao agraria,631,reforma agraria,5136,"governanca fundiaria, reforma agraria e regularizacao de territorios quilombolas e de povos e comunidades tradicionais",211a,desenvolvimento e gestao ambiental para o publico da reforma agraria,4,investimentos,90,aplicacoes diretas,0.0
43450011-2024,delegado caveira,deputado federal,pl,05,defesa nacional,152,defesa naval,6112,defesa nacional,21a0,aprestamento das forcas - manutencao da prontidao e da capacidade operativa,4,investimentos,90,aplicacoes diretas,98703.85
43450006-2024,delegado caveira,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,50000.0
43460001-2024,delegado da cunha,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,8788529.0
43460007-2024,delegado da cunha,deputado federal,pp,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jp,"desenvolvimento de atividades e apoio a programas e projetos de esporte amador, educacao, lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,8775000.0
43460002-2024,delegado da cunha,deputado federal,pp,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,6350000.0
43460011-2024,delegado da cunha,deputado federal,pp,13,cultura,392,difusao cultural,5125,direito a cultura,20zf,promocao e fomento a cultura brasileira,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,2500000.0
43460009-2024,delegado da cunha,deputado federal,pp,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,20jq,"apoio a realizacao de eventos de esporte amador, educacional, de lazer e inclusao social",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,3700792.0
43460008-2024,delegado da cunha,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,792710.0
43460008-2024,delegado da cunha,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,50,transferencias a inst. privadas s/ fins lucrativos,0.0
43460010-2024,delegado da cunha,deputado federal,pp,13,cultura,391,"patrimonio historico, artistico e arqueologico",5125,direito a cultura,20zh,preservacao do patrimonio cultural brasileiro,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,1000000.0
43460005-2024,delegado da cunha,deputado federal,pp,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,00sl,"apoio a implantacao e modernizacao de infraestrutura para esporte amador, educacional, recreativo e de lazer",4,investimentos,40,transferencias a municipios,668500.0
43460004-2024,delegado da cunha,deputado federal,pp,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,21ck,promocao e desenvolvimento do paradesporto nacional,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,360000.0
43460006-2024,delegado da cunha,deputado federal,pp,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,41,transferencias a municipios - fundo a fundo,200000.0
43460003-2024,delegado da cunha,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,200000.0
43460005-2024,delegado da cunha,deputado federal,pp,27,desporto e lazer,812,desporto comunitario,5126,esporte para a vida,00sl,"apoio a implantacao e modernizacao de infraestrutura para esporte amador, educacional, recreativo e de lazer",4,investimentos,90,aplicacoes diretas,31500.0
30820003-2024,delegado eder mauro,deputado federal,pl,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,18467896.0
30820004-2024,delegado eder mauro,deputado federal,pl,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,17782168.0
30820002-2024,delegado eder mauro,deputado federal,pl,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,1000000.0
30820001-2024,delegado eder mauro,deputado federal,pl,05,defesa nacional,151,defesa aerea,6112,defesa nacional,219d,adequacao de ativos de infraestrutura das organizacoes militares,3,outras despesas correntes,90,aplicacoes diretas,459874.6199999999
43470002-2024,delegado fabio costa,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,10500000.0
43470013-2024,delegado fabio costa,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,11435793.0
43470001-2024,delegado fabio costa,deputado federal,pp,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,7000000.0
43470002-2024,delegado fabio costa,deputado federal,pp,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,4500000.0
43470007-2024,delegado fabio costa,deputado federal,pp,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,871500.0
43470014-2024,delegado fabio costa,deputado federal,pp,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,8535,estruturacao de unidades de atencao especializada em saude,4,investimentos,41,transferencias a municipios - fundo a fundo,499976.0
43470006-2024,delegado fabio costa,deputado federal,pp,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,2723,"policiamento, fiscalizacao, enfrentamento a criminalidade e corrupcao",4,investimentos,90,aplicacoes diretas,348600.0
43470005-2024,delegado fabio costa,deputado federal,pp,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,2726,"prevencao e repressao ao trafico ilicito de drogas e a crimes praticados contra bens, servicos e interesses da uniao",4,investimentos,90,aplicacoes diretas,169000.0
43470003-2024,delegado fabio costa,deputado federal,pp,05,defesa nacional,153,defesa terrestre,6112,defesa nacional,21a0,aprestamento das forcas - manutencao da prontidao e da capacidade operativa,4,investimentos,90,aplicacoes diretas,248477.89
43470008-2024,delegado fabio costa,deputado federal,pp,14,direitos da cidadania,422,"direitos individuais, coletivos e difusos",5811,promocao dos direitos das pessoas com deficiencia,21g1,promocao e defesa dos direitos das pessoas com deficiencia,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,200000.0
43470004-2024,delegado fabio costa,deputado federal,pp,05,defesa nacional,125,normatizacao e fiscalizacao,6112,defesa nacional,21by,fiscalizacao da navegacao aquaviaria,4,investimentos,90,aplicacoes diretas,199984.95
43470009-2024,delegado fabio costa,deputado federal,pp,20,agricultura,608,promocao da producao agropecuaria,1144,agropecuaria sustentavel,20zv,fomento ao setor agropecuario,3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,143250.0
43470009-2024,delegado fabio costa,deputado federal,pp,20,agricultura,608,promocao da producao agropecuaria,1144,agropecuaria sustentavel,20zv,fomento ao setor agropecuario,3,outras despesas correntes,90,aplicacoes diretas,6750.0
39570002-2024,delegado marcelo freitas,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,12935792.0
39570004-2024,delegado marcelo freitas,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,10500000.0
39570003-2024,delegado marcelo freitas,deputado federal,uniao,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,7935793.0
39570001-2024,delegado marcelo freitas,deputado federal,uniao,15,urbanismo,244,assistencia comunitaria,2317,desenvolvimento regional e ordenamento territorial,00sx,apoio a projetos de desenvolvimento sustentavel local integrado,4,investimentos,90,aplicacoes diretas,1965215.02
39570002-2024,delegado marcelo freitas,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,500000.0
43480015-2024,delegado matheus laiola,deputado federal,uniao,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9467896.0
43480016-2024,delegado matheus laiola,deputado federal,uniao,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,8967897.0
43480002-2024,delegado matheus laiola,deputado federal,uniao,18,gestao ambiental,541,preservacao e conservacao ambiental,6114,protecao e recuperacao da biodiversidade e combate ao desmatamento e incendios,2e87,"implementacao da agenda nacional de protecao, defesa, bem-estar e direitos animais",3,outras despesas correntes,50,transferencias a inst. privadas s/ fins lucrativos,4775000.0
43480014-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,0.0
43480001-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,3150000.0
43480014-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,0.0
43480001-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,1350000.0
43480003-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,700000.0
43480016-2024,delegado matheus laiola,deputado federal,uniao,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,500000.0
43480006-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,350000.0
43480005-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,350000.0
43480004-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,350000.0
43480003-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,300000.0
43480002-2024,delegado matheus laiola,deputado federal,uniao,18,gestao ambiental,541,preservacao e conservacao ambiental,6114,protecao e recuperacao da biodiversidade e combate ao desmatamento e incendios,2e87,"implementacao da agenda nacional de protecao, defesa, bem-estar e direitos animais",3,outras despesas correntes,90,aplicacoes diretas,0.0
43480010-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,210000.0
43480008-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,0.0
43480006-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,150000.0
43480005-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,150000.0
43480004-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,150000.0
43480011-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,140000.0
43480007-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,140000.0
43480012-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,140000.0
43480013-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,140000.0
43480009-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,140000.0
43480010-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,90000.0
43480008-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,0.0
43480011-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,60000.0
43480007-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,60000.0
43480012-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,60000.0
43480013-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,60000.0
43480009-2024,delegado matheus laiola,deputado federal,uniao,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,60000.0
43490014-2024,delegado palumbo,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,40,transferencias a municipios,10710000.0
43490001-2024,delegado palumbo,deputado federal,mdb,10,saude,301,atencao basica,5119,atencao primaria a saude,2e89,incremento temporario ao custeio dos servicos de atencao primaria a saude para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,9467896.0
43490011-2024,delegado palumbo,deputado federal,mdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,31,transferencias a estados e df - fundo a fundo,5630000.0
43490014-2024,delegado palumbo,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,40,transferencias a municipios,4850000.0
43490011-2024,delegado palumbo,deputado federal,mdb,10,saude,302,assistencia hospitalar e ambulatorial,5118,atencao especializada a saude,2e90,incremento temporario ao custeio dos servicos de assistencia hospitalar e ambulatorial para cumprimento de metas,3,outras despesas correntes,41,transferencias a municipios - fundo a fundo,3837896.0
43490014-2024,delegado palumbo,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,4,investimentos,30,transferencias a estados e ao distrito federal,793782.0
43490002-2024,delegado palumbo,deputado federal,mdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,697200.0
43490006-2024,delegado palumbo,deputado federal,mdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,348600.0
43490012-2024,delegado palumbo,deputado federal,mdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,352390.0
43490003-2024,delegado palumbo,deputado federal,mdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,337370.0
43490004-2024,delegado palumbo,deputado federal,mdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,326000.0
43490009-2024,delegado palumbo,deputado federal,mdb,06,seguranca publica,181,policiamento,5116,seguranca publica com cidadania,21bm,"desenvolvimento de politicas de seguranca publica, prevencao e enfrentamento a criminalidade",4,investimentos,90,aplicacoes diretas,290500.0
43490013-2024,delegado palumbo,deputado federal,mdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),4,investimentos,90,aplicacoes diretas,0.0
43490014-2024,delegado palumbo,deputado federal,mdb,28,encargos especiais,845,outras transferencias,0903,operacoes especiais: transferencias constitucionais e as decorrentes de legislacao especifica,0ec2,transferencias especiais,3,outras despesas correntes,30,transferencias a estados e ao distrito federal,50000.0
43490013-2024,delegado palumbo,deputado federal,mdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,90,aplicacoes diretas,0.0
43490013-2024,delegado palumbo,deputado federal,mdb,08,assistencia social,244,assistencia comunitaria,5131,protecao social pelo sistema unico de assistencia social (suas),219g,estruturacao da rede de servicos do sistema unico de assistencia social (suas),3,outras despesas correntes,99,reserva de contingencia,0.0
